epoch,train_loss,val_loss,lr
1,1.48220782,0.58055028,0.00100000
2,0.24613517,0.17708946,0.00100000
3,0.12124365,0.11942767,0.00100000
4,0.09002499,0.10153181,0.00100000
5,0.06957175,0.08001337,0.00100000
6,0.05816239,0.06624169,0.00100000
7,0.04869094,0.06402112,0.00100000
8,0.04225173,0.05453031,0.00100000
9,0.03741533,0.05229401,0.00100000
10,0.03470142,0.05402434,0.00100000
11,0.03121017,0.05192143,0.00100000
12,0.02745725,0.04877950,0.00100000
13,0.02522595,0.05312903,0.00100000
14,0.02469080,0.05900373,0.00100000
15,0.02516411,0.05098832,0.00100000
16,0.02140729,0.04954155,0.00050000
17,0.01512716,0.04047665,0.00050000
18,0.01197628,0.04006372,0.00050000
19,0.01060175,0.03949863,0.00050000
20,0.00975995,0.04024513,0.00050000
21,0.01087129,0.04262948,0.00050000
22,0.00900465,0.04127374,0.00050000
23,0.00824906,0.04117908,0.00025000
24,0.00736053,0.04193873,0.00025000
25,0.00692773,0.04181782,0.00025000
26,0.00662234,0.04281753,0.00025000
27,0.00637694,0.04296153,0.00012500
