epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,174.377,1.34383,2.3197,0.98985,0.77578,0.79548,0.85715,0.56456,1.05769,0.90416,0.88499,0.00997442,0.00332481,0.00997442,0.00332481,0.00997442,0.00332481,0.00997442,0.00332481
2,349.175,1.06418,0.98337,0.90326,0.9087,0.88417,0.95514,0.64681,1.06536,0.66681,0.88367,0.0194801,0.00649335,0.0194801,0.00649335,0.0194801,0.00649335,0.0194801,0.00649335
3,524.481,1.02526,0.85086,0.89377,0.82993,0.80449,0.88318,0.52685,1.31174,0.83025,0.95792,0.0284907,0.0094969,0.0284907,0.0094969,0.0284907,0.0094969,0.0284907,0.0094969
4,701.555,0.95381,0.77905,0.88118,0.72421,0.72394,0.80574,0.43133,1.59879,0.91086,1.04293,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
5,876.476,0.88931,0.71225,0.87125,0.6085,0.57719,0.59313,0.2446,2.22424,1.22043,1.23845,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
6,1050.53,0.85512,0.67656,0.86507,0.95304,0.93927,0.98346,0.82938,0.6179,0.41565,0.80058,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
7,1225.76,0.82469,0.64084,0.86059,0.85606,0.8031,0.89391,0.58313,1.19044,0.69336,0.93019,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
8,1399.91,0.80643,0.62465,0.85842,0.72853,0.68169,0.73829,0.3861,1.72243,0.92273,1.07821,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
9,1574.49,0.79441,0.60906,0.85599,0.93527,0.9141,0.97333,0.70531,0.95616,0.50961,0.85808,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
10,1747.91,0.77972,0.59349,0.85409,0.50851,0.40975,0.36846,0.129,2.95141,1.49928,1.58197,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
11,1921.11,0.77459,0.58808,0.85308,0.94292,0.92265,0.97746,0.73945,0.86647,0.47993,0.84309,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
12,2093.51,0.76519,0.58163,0.85185,0.95721,0.92974,0.98067,0.75985,0.84115,0.43754,0.83506,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
13,2265.85,0.75809,0.56914,0.85056,0.89011,0.84186,0.92839,0.62097,1.16231,0.61769,0.91503,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
14,2438.36,0.75167,0.56277,0.84952,0.93204,0.8926,0.96194,0.69817,0.96977,0.49314,0.86573,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
